mr_bah,mr_xb,mr_nn
L0001110255,1,55
L0001106901,1,60
L0001118051,1,56
L0001121508,1,62
L0001123366,2,58
L0001125144,2,50
L0001125533,2,64
L0001125833,2,61
L0001126165,2,58
L0001126694,2,6
L0001128265,2,55
L0001129186,1,68
L0001129332,1,68
L0001118343,2,19
L0001129418,2,67
L0001129840,1,10
L0001130656,1,61
L0001131317,2,32
L0001131372,2,56
L0001131437,1,53
L0001131658,2,49
L0001114879,1,52
L0001132981,2,43
L0001133044,2,51
L0001133343,2,67
L0001133414,1,64
L0001133601,1,40
L0001133812,2,43
L0001133837,2,53
L0001134024,2,35
L0001134934,2,74
L0001134952,1,55
L0001135091,1,51
L0001135509,2,50
L0001135640,2,52
L0001135700,2,70
L0000900097,2,62
L0001136860,2,54
L0001137114,1,10
L0001137819,2,51
L0001138006,2,55
L0001139426,1,30
L0001130295,1,60
L0001088287,2,66
L0001140171,1,69
L0001140289,1,52
L0001140339,1,49
L0001140683,2,51
L0001140776,1,41
L0001141201,1,54
L0001141635,2,57
L0001141653,2,47
L0001141724,1,56
L0001142215,1,60
L0001142706,1,60
L0001143631,2,67
L0001143689,1,50
L0001143945,1,50
L0001144467,1,57
L0001144578,1,67
L0001145215,2,53
L0001145218,2,33
L0001145220,2,66
L0001145454,1,52
L0001145457,1,45
L0001145880,1,56
L0001146798,2,61
L0001147406,1,64
L0001147484,2,57
L0001147988,1,65
L0001148179,1,33
L0001148571,1,54
L0001148671,1,29
L0001149634,2,67
L0001150001,2,60
L0001150380,2,57
L0001150836,1,69
L0001048880,2,44
L0001151800,2,67
L0000903157,1,90
L0001152367,1,51
L0001152452,2,33
L0001079804,1,54
L0001152749,1,61
L0001152760,2,67
L0001153138,2,52
L0001153373,1,41
L0001153988,2,51
L0001155203,1,70
L0001155251,1,32
L0001155348,1,56
L0001155670,2,60
L0001156560,2,45
L0001156763,1,33
L0001157279,2,51
L0001157498,2,52
L0001157741,2,55
L0001158108,2,50
L0001158223,1,56
L0001158261,1,52
L0001158284,2,52
L0001158699,1,32
L0001158796,1,54
L0001159354,1,59
L0001159469,2,64
L0001159549,2,58
L0001160209,2,67
L0001160393,1,51
L0001160826,2,61
L0001161117,2,55
L0001161467,1,41
L0001161555,1,40
L0001161596,1,52
L0001018730,1,46
L0001162277,1,59
L0001162407,1,38
L0001162410,1,4
L0001162570,2,50
L0001162929,2,49
L0001144524,2,67
L0001163256,1,49
L0001163613,1,69
L0001163714,1,59
L0001164204,1,52
L0000996807,1,57
L0001164464,1,45
L0001164853,2,53
L0001165289,2,26
L0001165352,1,55
L0001028637,2,57
L0001145236,2,40
L0001166064,1,58
L0001166182,2,69
L0001166207,2,74
L0001166872,2,45
L0001167620,2,50
L0001167753,1,81
L0001168084,2,34
L0001168636,2,63
L0001111114,1,65
L0001168769,1,65
L0001169017,2,39
L0001039285,2,75
L0001169058,2,55
L0001161418,1,71
L0001169514,2,65
L0001169868,2,58
L0001163716,1,63
L0001170380,1,6
L0001170399,2,55
L0001171813,1,61
L0001172050,2,72
L0001172051,2,67
L0001172188,2,64
L0001170106,1,69
L0001157976,1,72
L0001172777,2,68
L0001172788,2,60
L0001173044,2,28
L0001173071,1,57
L0001173077,1,57
L0001173402,1,34
L0001173882,2,60
L0001174806,2,25
L0001156725,1,32
L0001176273,1,76
L0001176277,2,66
L0001149347,1,49
L0001176689,1,35
L0001176892,1,34
L0001177134,1,52
L0001178105,1,39
L0001178736,1,56
L0001179015,2,49
L0001179442,2,64
L0001179717,2,37
L0001179856,1,24
L0001180627,1,52
L0001181342,1,49
L0001181453,2,45
L0001181492,1,72
L0001181594,2,47
L0001182025,2,75
L0001182153,2,35
L0001182224,1,53
L0001182258,2,54
L0001182434,1,59
L0001184723,2,44
L0001185049,2,51
L0001185394,2,56
L0001185712,1,66
