word,胸腔积液,肺部感染,颅内感染,脑水肿,高血压病3级（极高危）,面肌痉挛,电解质紊乱,三叉神经痛,颅内动脉瘤破裂伴蛛网膜下腔出血,肺气肿,低蛋白血症,重症肺炎,心包积液,脑室出血,创伤性蛛网膜下腔出血,肝囊肿,脑内出血,额叶恶性肿瘤,低钾血症,小脑出血,基底节出血,脑积水,手术后颅骨缺失,肺不张,脂肪肝,筛窦炎,低钙血症,肺结节病,脑动脉瘤破裂伴蛛网膜下腔出血,颅骨骨折,腔隙性脑梗死,锁骨下动脉斑块,呼吸衰竭,颈总动脉斑块,2型糖尿病,下肢静脉血栓形成,轻度贫血,鼻中隔偏曲,主动脉硬化,前列腺增生,胆囊结石,单纯性肾囊肿,高血压,上颌窦炎,小脑梗死,高血压病1级（低危）,小脑良性肿瘤,颈内动脉斑块,脑梗死,创伤性慢性硬膜下血肿,高血压病2级（极高危）,肺部阴影,颅骨缺损修补,气管造口状态,额叶出血,脑脓肿,手术后颅内积气,听神经良性肿瘤,腹腔积液,硬脑膜下积液,二尖瓣反流,脑疝,慢性硬膜下血肿,垂体瘤,偏侧肢体无力,梗阻性脑积水,贫血,丘脑出血,低钠血症,肢体无力,脑肿瘤卒中,闭合性颅脑损伤特重型,硬膜下血肿,高血压病2级（高危）,额叶良性肿瘤,脑部手术后皮下积液,多发性大脑挫裂伤,手术后切口愈合不良,高血压病1级（中危）,局灶性大脑挫伤伴出血,颈内动脉狭窄,颞叶恶性肿瘤,小脑恶性肿瘤,脑挫伤,肺恶性肿瘤,额叶脑膜瘤,视物模糊,小脑幕下良性肿瘤,虹膜后粘连,肺水肿,高血压2级,外展神经损伤,中央型房间隔缺损(卵圆孔型),脑室腹腔分流管置入感染,枕叶出血,脑实质出血继发蛛网膜下腔出血,颞骨骨折,颞叶出血,主动脉瓣钙化,癫痫,肝脓肿,脑萎缩,顶叶出血,脓毒性休克,闭合性颅脑损伤重型,创伤性脑出血,头晕,创伤性脑脊液漏,创伤性颅内血肿,基底动脉蛛网膜下腔出血,颅内积气[气颅症],肝钙化灶,蛛网膜粘连,脑脊液漏,高血压3级,甲状腺结节,高血压病3级（高危）
胸腔积液,40,20,6,15,6,0,4,0,1,5,6,7,9,4,2,1,2,4,2,3,3,2,3,3,0,2,3,2,2,0,1,1,2,3,2,3,0,0,1,3,0,2,1,2,2,1,1,1,2,1,3,2,0,1,1,1,1,2,3,2,0,3,1,1,1,0,1,1,2,1,1,0,0,1,0,1,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
肺部感染,20,40,8,9,11,0,7,1,3,3,8,0,6,4,3,3,2,2,5,3,3,3,1,2,1,2,3,1,2,1,5,1,2,2,1,4,1,0,1,2,0,1,3,1,1,1,1,0,0,1,1,1,0,2,2,1,1,1,1,1,0,1,2,1,3,1,1,3,2,1,1,0,0,2,1,1,2,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
颅内感染,6,8,34,5,2,7,2,5,0,1,5,1,3,1,3,1,4,1,3,1,1,4,1,1,0,1,1,1,0,2,1,1,1,2,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,1,0,2,1,1,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0
脑水肿,15,9,5,31,6,1,2,0,2,3,5,8,0,6,1,1,2,3,3,5,3,1,3,2,2,1,2,2,1,0,2,1,1,2,0,1,0,0,1,1,2,0,0,1,2,0,0,1,2,0,2,2,0,1,2,3,0,0,2,1,1,3,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
高血压病3级（极高危）,6,11,2,6,25,1,3,2,3,1,1,2,2,4,0,3,2,0,1,4,4,2,0,1,2,2,1,1,1,0,3,2,1,1,2,0,1,1,1,1,1,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
面肌痉挛,0,0,7,1,1,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
电解质紊乱,4,7,2,2,3,0,13,1,1,1,6,2,0,1,2,0,1,2,1,1,0,1,0,0,0,1,2,0,0,1,2,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
三叉神经痛,0,1,5,0,2,1,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
颅内动脉瘤破裂伴蛛网膜下腔出血,1,3,0,2,3,0,1,0,13,2,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
肺气肿,5,3,1,3,1,0,1,0,2,13,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
